Author,Title,Comment,Version,Rating,Vote
曾鼎皓,可以加迷失幻境這首歌嗎,拜托快更新,7.11.00,5,5
Fuxhcffufu,歌詞大小的問題,"更新後歌詞字越大，越會吃字完整歌詞顯示不出來，還得一直去調整歌詞大小才能完整顯示出來，但老人家視力不好看歌詞很不方便，希望改善
謝謝🙏",7.11.00,5,5
冷飲熱食拉肚子,什麼時候會出 浮動歌詞⋯,"還有為什麼14.2 小工具歌詞又不見了
鎖屏也看不到歌詞 
那出歌詞功能到底有什麼意義⋯",7.11.00,1,1
Sasasasasawu,歌單的建議,"希望在歌單裡面搜尋到的音樂，也有選項可以把這首歌從歌單中刪除
其他都很好用👍🏻",7.11.00,5,5
jntung,歌詞無法完整顯示,"歌詞比較長的句子
歌詞沒辦法完整顯示",7.11.00,4,4
萬晉宏,離線播放,以前都可以無限次數離線播放音樂，為何現在改成一定要有白金會員才能離線播放音樂？,7.11.00,1,1
鳥生蛋雞拉屎,更新後有HIFI的離線歌單都沒辦法聽,自從更新以後離線歌單內有HIFI的曲目都沒辦法聽了，會一直出現很久沒上線的通知，但開啟上線後問題還是沒解決,7.11.00,1,1
ruby_苓,閃退問題,聽歌聽到一半突然閃退 重開也是會,7.11.00,2,2
名字怎么那么多重覆,扣款完成不給聽歌,扣款了而且日期還沒變還去上傳很多次了還是不能聽歌是在騙人扣款嗎,7.11.00,1,1
憤怒的長期愛用者,HiFi音質無法選取,Ios版 將KKBOX更新至最新版但是一直無法變更音質設定（wifi跟行動網路都一樣）🤬,7.11.00,1,1
dcb6325147,歌詞小工具不見了⋯⋯,更新後發現歌詞小工具不見了😞😓😭,7.11.00,4,4
北海雪.相思,自動同步,"強制自動同步莫名其妙，不同裝置就是想聽不同的不行嗎？
另外同步前連提示確認都沒有是怎樣，根本沒考慮不同使用者的需求😡",7.11.00,1,1
Yuusuke Lai,全部歌曲≠ 離線歌曲 是三小,"全部歌曲七百多首
連線歌曲一千多首
不一樣是三小",7.11.00,1,1
Black54230,更新完一直斷線這幾天更嚴重,"到底是怎樣更新完一直斷線叫上線，
一首歌聽完就斷，
想離線聽也不行，
強制上線？
用這麼久第一次這麼火大，
叫我跳槽去Spotify?????????",7.11.00,2,2
大樹種在土地上,不要同步,歌單可以不要同步嗎！,7.11.00,3,3
激情海牛,為什麼歌單自動同步了？,如題,7.11.00,1,1
O.Chen,歌單是什麼樣的概念,你要同步就算了，你要新增自動同步功能就算了，還不讓人家選擇不要自動同步，我家裡公司手機都有不同的歌單設定，每個設定都是我好幾年來的累積，現在全部混在一起，我就問問這App誰寫的,7.11.00,1,1
qwrrrrttt,不想要兩台手機都是一樣的歌單,"同步歌單 之前明明還可以取消的啊
這麼這次打開手機 
發現同步歌單
在設定裡面 也找不到
真心的感到傻眼
還是有什麼其他方法
可以解決這問題",7.11.00,3,3
史萊姆^_^,版權,為什麼房東的貓的歌有好多不能聽了😢,7.11.00,2,2
JYJJYYJ,歌詞介面！！！,"更新後發現歌詞的介面改了😭😭😭
真的很不喜歡QQ 覺得舊款的比較好看
不然建立個設定可以讓歌詞置中！
拜託讓歌詞置中😭😭😭不然歌詞在旁邊讓我都不想發ig了😭",7.11.00,5,5
弄超久,優化建議,有時候apple watch歌詞會卡住 希望可以優化,7.11.00,5,5
rabbitrabbit,讓使用者自行決定自動同步選項,請恢復讓使用者可以自行決定自動同步的選項！讓不同裝置能夠有專屬的播放歌單，不要強迫自動同步，帶來使用上的困擾！,7.11.00,2,2
嗐嗐哈哈,不要歌單同步,可以把歌單同步功能關掉嗎，這樣真的很困擾,7.11.00,1,1
plachuo,歌單不能自己選擇要不要同步,歌單不能自己選擇要不要同步,7.11.00,1,1
bignose995,自動同步歌單,很讓人感到困擾,7.11.00,2,2
wowohya,歌詞置中,"希望歌詞可以變回原本置中的格式🥺
看起來較舒適",7.11.00,4,4
samminatha,歌單,是有什麼問題啊？硬要把歌單自動同步 不知道這樣對別人造成不便嗎？是不會先通知一聲嗎？自己自以為是改掉到底要害別人浪費多少時間把原本的歌弄回來 是在搞笑是不是？？？？？？,7.11.00,1,1
__yue,不能關掉自動同步,憑什麼強制啊⋯⋯==,7.11.00,2,2
Jiangdian,更新後疑問,"最近的版本更新後， 原本已經下載的歌曲或是收藏的歌曲多數跳出「離線使用中」要我立即上線。但是我已經是上線中的狀態。
是否為更新版本後的瑕疵呢？
雖然歌曲重新下載後就可以正常收聽，但是挺困擾的。
Ps.我是iOS系統",7.11.00,4,4
Xunchia,在線上了還要重新上線有事嗎？,不管是上線或是離線使用，聽沒幾首歌就要停下來回復KK系統的通知，更爛的是就算回復了還是會重複跳出同一個通知，根本不能聽音樂！請盡快修正！,7.11.00,1,1
momo ._.,自行同步歌單,希望取消同步歌單的功能，至少讓使用者有辦法自行設定要不要同步,7.11.00,3,3
我是個很酷喔,更新最新版本之後會一直斷線,如題,7.11.00,2,2
Angela825001,不要同步歌單,可以不要強迫自動同步歌單,7.11.00,1,1
Louis 621,歌單同步,"為什麼要把歌單同步的功能移除
這樣每個裝置的使用習慣，都會混在一起
很麻煩
希望可以改回來",7.11.00,2,2
ㄏㄠˇㄋㄢˊㄑㄩˇㄉㄜ˙ㄋㄧˋㄔㄥ,更新後,之前不會 現在聽沒幾首歌 自己就停止 然後說要重新上線 但我聽的是離線後可聽的歌？,7.11.00,2,2
可悲的我,不是已經下載了嗎,"用離線歌曲聽音樂
現在有時聽個2.3首就會直接暫停音樂
按繼續播放過幾秒又停
更新之後閃退很嚴重
音樂播到一半停止
app關閉
已經很多次了",7.11.00,2,2
kk骨灰粉,當機,更新之後  打開app一直自動同步歌單  跑很久  直接當機,7.11.00,5,5
zxc87app,一起聽無法使用,"這次更新之後一起聽無法播放
都會說有人使用KKBOX及將停止下載
問題是 只有我一個人在使用==",7.11.00,4,4
其實我很愛KKBOX,拜託關掉自動同步功能,多人共用帳號真的會很不方便,7.11.00,2,2
Tracy900710,同步問題,"希望不要自動同步
跟之前一樣有選項比較好
不想要同步的話這樣很不方便",7.11.00,1,1
Becky be,真的感覺很煩,能不能不要強迫歌單同步,7.11.00,3,3
好玩的遊戲我要黃金！,提早2天申請退租被通知無法如期退租,約11月開始收到12/4到期通知，已告知事先要取消得到回覆是要在當天才能做取消；等到約12/2我再撥打電話取消合約，竟通知已無法於合約期滿前取消，會酌量收取費用；結果今天帳單來一看，居然收取完整一個月的費用（服務於12/5即取消）,7.11.00,1,1
孑孓孑孓生生不息,反省,這還用說，爛字該檢討，請加油！,7.11.00,1,1
你正在其他裝置使用KKBOX,一直出現 你正在其他裝置使用KKBOX,"然後就停止播放！

查過登入紀錄只有我一台手機，也改過密碼。

都沒用！ 請快修正！",7.11.00,1,1
Pc77121,聽到一半就停了,最近用手機播Kkbox都會聽到一半斷線，說有另一個地方也在使用，但我沒有用其他裝置聽也沒有給任何聽過,7.11.00,5,5
Moli510,歌單自動同步,"一個帳號好幾個人用 
自動同步後的全部歌曲有4千多首！
希望能把歌單自動同步關閉
或者是讓使用者自己選擇是否要開啟！",7.11.00,2,2
tsainn,音樂會自己斷掉,明明一直播放但音樂卻會自己斷掉然後說太久沒上線， 更新完已經這樣四、五次了，希望可以改善，謝謝。,7.11.00,5,5
matcha39,功能建議,"1.我想要可以馬上看到某首歌的播放次數，不要每次都等年度總結才知道，而且總結也只計算到12月初，不是應該在1月初上線，計算到12月底才正常嗎。

2.有時候聽到某首歌以後想刪掉這首歌，就要到歌單裡慢慢找到這首歌才能刪掉，希望有一個可以定位到「現正播放中」歌曲的功能，如果歌單只有幾百首歌還好，我歌單有兩千多首歌，每次想刪歌找好久，還要自己記歌手大概在哪個位置.....",7.11.00,2,2
陶瓷電暖器,只有國台日韓有在更新,我是spa業者，一開始覺得你們很貼心有分類音樂，但整整三年輕音樂完全沒換過   太差了,7.11.00,2,2
Berylean,帳號瘋狂被踢出,"不知道是不是有bug
安全性調整
已經
1.完全沒有連結
2.密碼更換

仍舊一直斷線，說帳號有其他人使用，問題是我剛辦一個月，帳號只有我在用⋯怎麼會出現這樣的情形？",7.11.00,1,1
chensssssmin,桌面配件,桌面配件的歌可以放自己聽的歌嗎 因為真的沒有很在乎熱門新歌是啥 謝謝惹拜託 不然我要改用apple music惹🥺🥺🥺,7.11.00,3,3
彫宏,最近無法連線的情況很嚴重,嚴重到我都刪掉重下載還是一樣，跟網路無關，我換了好幾個地方的5G試了,7.11.00,1,1
v希嘻嘻v,希望可以多家人共享的方案,"希望可以多家人共享的方案
還有Shazam辨識完可以直接在KKBOX使用

希望歌詞分享可以不要有白底
最原始的歌詞分享比較好看",7.11.00,5,5
知識王腦殘的App工程師就是說你,用心花時間投稿歌詞了，過好幾天依然沒歌詞可使用（被取用）浪費我寶貴的時間想給大家歌詞看,既然不採用我的歌詞何必浪費我的時間給所有會員權限投稿歌詞？,7.11.00,1,1
weddrhb,延伸播放問題,延伸播放時常沒有作用⋯⋯,7.11.00,2,2
乾為什麼一定要取暱稱,播放自己的歌單不夠直覺,"1.為什麼在ios 的小工具只顯示推薦歌曲，spotify 可以播放自己收藏的歌單，大部分時候只想聽自己的歌單很不方便
2.就算點進app也不能一鍵播放自己的歌單，希望介面可以直覺一點，不然歌再好也會被其他app取代",7.11.00,2,2
