,Comment,Predicted_class
0,拜托快更新,無問題
1,"更新後歌詞字越大，越會吃字完整歌詞顯示不出來，還得一直去調整歌詞大小才能完整顯示出來，但老人家視力不好看歌詞很不方便，希望改善
謝謝🙏",無問題
2,"還有為什麼14.2 小工具歌詞又不見了
鎖屏也看不到歌詞 
那出歌詞功能到底有什麼意義⋯",無問題
3,"希望在歌單裡面搜尋到的音樂，也有選項可以把這首歌從歌單中刪除
其他都很好用👍🏻",無問題
4,"歌詞比較長的句子
歌詞沒辦法完整顯示",無問題
5,以前都可以無限次數離線播放音樂，為何現在改成一定要有白金會員才能離線播放音樂？,播放問題
6,自從更新以後離線歌單內有HIFI的曲目都沒辦法聽了，會一直出現很久沒上線的通知，但開啟上線後問題還是沒解決,其他問題
7,聽歌聽到一半突然閃退 重開也是會,閃退問題
8,扣款了而且日期還沒變還去上傳很多次了還是不能聽歌是在騙人扣款嗎,其他問題
9,Ios版 將KKBOX更新至最新版但是一直無法變更音質設定（wifi跟行動網路都一樣）🤬,無問題
10,更新後發現歌詞小工具不見了😞😓😭,無問題
11,"強制自動同步莫名其妙，不同裝置就是想聽不同的不行嗎？
另外同步前連提示確認都沒有是怎樣，根本沒考慮不同使用者的需求😡",無問題
12,"全部歌曲七百多首
連線歌曲一千多首
不一樣是三小",其他問題
13,"到底是怎樣更新完一直斷線叫上線，
一首歌聽完就斷，
想離線聽也不行，
強制上線？
用這麼久第一次這麼火大，
叫我跳槽去Spotify?????????",其他問題
14,歌單可以不要同步嗎！,無問題
15,如題,無問題
16,你要同步就算了，你要新增自動同步功能就算了，還不讓人家選擇不要自動同步，我家裡公司手機都有不同的歌單設定，每個設定都是我好幾年來的累積，現在全部混在一起，我就問問這App誰寫的,無問題
17,"同步歌單 之前明明還可以取消的啊
這麼這次打開手機 
發現同步歌單
在設定裡面 也找不到
真心的感到傻眼
還是有什麼其他方法
可以解決這問題",無問題
18,為什麼房東的貓的歌有好多不能聽了😢,其他問題
19,"更新後發現歌詞的介面改了😭😭😭
真的很不喜歡QQ 覺得舊款的比較好看
不然建立個設定可以讓歌詞置中！
拜託讓歌詞置中😭😭😭不然歌詞在旁邊讓我都不想發ig了😭",無問題
20,有時候apple watch歌詞會卡住 希望可以優化,無問題
21,請恢復讓使用者可以自行決定自動同步的選項！讓不同裝置能夠有專屬的播放歌單，不要強迫自動同步，帶來使用上的困擾！,無問題
22,可以把歌單同步功能關掉嗎，這樣真的很困擾,無問題
23,歌單不能自己選擇要不要同步,無問題
24,很讓人感到困擾,無問題
25,"希望歌詞可以變回原本置中的格式🥺
看起來較舒適",無問題
26,是有什麼問題啊？硬要把歌單自動同步 不知道這樣對別人造成不便嗎？是不會先通知一聲嗎？自己自以為是改掉到底要害別人浪費多少時間把原本的歌弄回來 是在搞笑是不是？？？？？？,其他問題
27,憑什麼強制啊⋯⋯==,閃退問題
28,"最近的版本更新後， 原本已經下載的歌曲或是收藏的歌曲多數跳出「離線使用中」要我立即上線。但是我已經是上線中的狀態。
是否為更新版本後的瑕疵呢？
雖然歌曲重新下載後就可以正常收聽，但是挺困擾的。
Ps.我是iOS系統",無問題
29,不管是上線或是離線使用，聽沒幾首歌就要停下來回復KK系統的通知，更爛的是就算回復了還是會重複跳出同一個通知，根本不能聽音樂！請盡快修正！,無問題
30,希望取消同步歌單的功能，至少讓使用者有辦法自行設定要不要同步,無問題
31,如題,無問題
32,可以不要強迫自動同步歌單,無問題
33,"為什麼要把歌單同步的功能移除
這樣每個裝置的使用習慣，都會混在一起
很麻煩
希望可以改回來",無問題
34,之前不會 現在聽沒幾首歌 自己就停止 然後說要重新上線 但我聽的是離線後可聽的歌？,其他問題
35,"用離線歌曲聽音樂
現在有時聽個2.3首就會直接暫停音樂
按繼續播放過幾秒又停
更新之後閃退很嚴重
音樂播到一半停止
app關閉
已經很多次了",無問題
36,更新之後  打開app一直自動同步歌單  跑很久  直接當機,無問題
37,"這次更新之後一起聽無法播放
都會說有人使用KKBOX及將停止下載
問題是 只有我一個人在使用==",閃退問題
38,多人共用帳號真的會很不方便,無問題
39,"希望不要自動同步
跟之前一樣有選項比較好
不想要同步的話這樣很不方便",無問題
40,能不能不要強迫歌單同步,無問題
41,約11月開始收到12/4到期通知，已告知事先要取消得到回覆是要在當天才能做取消；等到約12/2我再撥打電話取消合約，竟通知已無法於合約期滿前取消，會酌量收取費用；結果今天帳單來一看，居然收取完整一個月的費用（服務於12/5即取消）,其他問題
42,這還用說，爛字該檢討，請加油！,其他問題
43,"然後就停止播放！

查過登入紀錄只有我一台手機，也改過密碼。

都沒用！ 請快修正！",帳號問題
44,最近用手機播Kkbox都會聽到一半斷線，說有另一個地方也在使用，但我沒有用其他裝置聽也沒有給任何聽過,無問題
45,"一個帳號好幾個人用 
自動同步後的全部歌曲有4千多首！
希望能把歌單自動同步關閉
或者是讓使用者自己選擇是否要開啟！",無問題
46,明明一直播放但音樂卻會自己斷掉然後說太久沒上線， 更新完已經這樣四、五次了，希望可以改善，謝謝。,無問題
47,"1.我想要可以馬上看到某首歌的播放次數，不要每次都等年度總結才知道，而且總結也只計算到12月初，不是應該在1月初上線，計算到12月底才正常嗎。

2.有時候聽到某首歌以後想刪掉這首歌，就要到歌單裡慢慢找到這首歌才能刪掉，希望有一個可以定位到「現正播放中」歌曲的功能，如果歌單只有幾百首歌還好，我歌單有兩千多首歌，每次想刪歌找好久，還要自己記歌手大概在哪個位置.....",無問題
48,我是spa業者，一開始覺得你們很貼心有分類音樂，但整整三年輕音樂完全沒換過   太差了,無問題
49,"不知道是不是有bug
安全性調整
已經
1.完全沒有連結
2.密碼更換

仍舊一直斷線，說帳號有其他人使用，問題是我剛辦一個月，帳號只有我在用⋯怎麼會出現這樣的情形？",其他問題
50,桌面配件的歌可以放自己聽的歌嗎 因為真的沒有很在乎熱門新歌是啥 謝謝惹拜託 不然我要改用apple music惹🥺🥺🥺,無問題
51,嚴重到我都刪掉重下載還是一樣，跟網路無關，我換了好幾個地方的5G試了,無問題
52,"希望可以多家人共享的方案
還有Shazam辨識完可以直接在KKBOX使用

希望歌詞分享可以不要有白底
最原始的歌詞分享比較好看",無問題
53,既然不採用我的歌詞何必浪費我的時間給所有會員權限投稿歌詞？,無問題
54,延伸播放時常沒有作用⋯⋯,無問題
55,"1.為什麼在ios 的小工具只顯示推薦歌曲，spotify 可以播放自己收藏的歌單，大部分時候只想聽自己的歌單很不方便
2.就算點進app也不能一鍵播放自己的歌單，希望介面可以直覺一點，不然歌再好也會被其他app取代",無問題
56,開始寫心得才警覺，使用的經驗算這麼資深了，當年從kkman轉介開始用kkbox，一路看著它的變化與成長⋯⋯能黏著到今日，也是覺得好用，與時俱進，有企圖心。其歌曲庫豐富，分類清楚好使用，跟得上流行腳步，這兩年開發出的類似歌曲推薦運算能力更深得我心，不看電視的我，kkbox是我接觸流行音樂的門戶。希望它不停止成長，讓大家能一直使用下去。,無問題
57,"自動同步歌單功能 對帳號共享的用戶來說真的很不方便 而且這個功能還不能關閉？？？？？？
不懂為什麼要強制這樣 一早起來我的歌單全部變成別的人歌單了 想刪又怕對方那邊也會被刪掉 希望可以使用手動同步 或關閉自動同步的功能",無問題
58,"以前使用iphone在車上以藍芽播放kkbox,一段時間沒動螢幕，螢幕只會變暗只要碰觸到螢幕就會再度亮起，自從某次更新後（除了歌詞頁面）都會在一段時間後自動關閉螢幕，請問能改回之前狀態嗎？",無問題
59,更新完之後，播完單曲後無法自動延伸播放類似曲風的歌,無問題
60,如題,無問題
61,希望可以有播放清單的widget,無問題
62,"新下載要註冊，密碼欄位不能按
麻煩請改善！",其他問題
63,謝謝KKBOX小隊讓動態歌詞總算從一開始大改版的置左改回成置中，已經看了10幾年禁不起大變呀🙈,無問題
64,我看到你的哀怨了😂辛苦了😂,無問題
65,耶！歌詞終於恢復到原本的樣式了！,無問題
66,"在歌曲播放中的頁面，
最上面的功能鍵會卡住，無法點選回首頁或使用搜尋功能，
更新了問題仍然存在",播放問題
67,感謝小編的回覆.問題已解決,無問題
68,"更新後歌單強制同步 還無法關閉自動同步
大概猜想得到是要杜絕一個帳號多人使用 但有沒有想過有些會員是同一個家庭 一起用應該不為過吧
強制同步後歌單不見 歌曲全部混在一起是真的造成很大困擾
都已經很支持了 用了很長一陣子的白金會員 實在覺得失望跟無奈",無問題
69,播放歌曲時無法按照順序播放，會亂跳！,播放問題
70,不好意思 可以麻煩把歌單自動同步的選項開啟嗎？,無問題
71,越改越怪耶！越改越不方便！自動同步歌單？歌詞吃字？音質到底要幾個選項？新歌單最上方但新歌曲在最下方？what’s wrong with you?,無問題
72,用fb登不進去,帳號問題
73,使用其他程式時不能顯示歌詞,其他問題
74,"好多歌的歌詞都看不到
還有希望很多本來可聽的歌現在未授權的可以重新上架",無問題
75,"有些歌都沒有
我們這些付錢都是大頭就對了",其他問題
76,不要強制同步歌單 爛功能 請改回來,其他問題
77,"最近不知道過幾次的更新之後
聽過的歌下載後都不會增加到「全部歌曲」裡面欸
真的很困擾😭",無問題
