,Comment,Rating,Predicted_sentiment
0,拜托快更新,5,-0.15273943543434143
1,"更新後歌詞字越大，越會吃字完整歌詞顯示不出來，還得一直去調整歌詞大小才能完整顯示出來，但老人家視力不好看歌詞很不方便，希望改善
謝謝🙏",5,0.03915703669190407
2,"還有為什麼14.2 小工具歌詞又不見了
鎖屏也看不到歌詞 
那出歌詞功能到底有什麼意義⋯",1,-0.2212064564228058
3,"希望在歌單裡面搜尋到的音樂，也有選項可以把這首歌從歌單中刪除
其他都很好用👍🏻",5,0.014782901853322983
4,"歌詞比較長的句子
歌詞沒辦法完整顯示",4,0.013501573354005814
5,以前都可以無限次數離線播放音樂，為何現在改成一定要有白金會員才能離線播放音樂？,1,-0.019442390650510788
6,自從更新以後離線歌單內有HIFI的曲目都沒辦法聽了，會一直出現很久沒上線的通知，但開啟上線後問題還是沒解決,1,-0.14538708329200745
7,聽歌聽到一半突然閃退 重開也是會,2,-0.5692484378814697
8,扣款了而且日期還沒變還去上傳很多次了還是不能聽歌是在騙人扣款嗎,1,-0.21096555888652802
9,Ios版 將KKBOX更新至最新版但是一直無法變更音質設定（wifi跟行動網路都一樣）🤬,1,-0.31678807735443115
10,更新後發現歌詞小工具不見了😞😓😭,4,-0.2175520658493042
11,"強制自動同步莫名其妙，不同裝置就是想聽不同的不行嗎？
另外同步前連提示確認都沒有是怎樣，根本沒考慮不同使用者的需求😡",1,-0.1709907352924347
12,"全部歌曲七百多首
連線歌曲一千多首
不一樣是三小",1,-0.11216563731431961
13,"到底是怎樣更新完一直斷線叫上線，
一首歌聽完就斷，
想離線聽也不行，
強制上線？
用這麼久第一次這麼火大，
叫我跳槽去Spotify?????????",2,-0.6536263823509216
14,歌單可以不要同步嗎！,3,0.30180126428604126
15,如題,1,0.14863932132720947
16,你要同步就算了，你要新增自動同步功能就算了，還不讓人家選擇不要自動同步，我家裡公司手機都有不同的歌單設定，每個設定都是我好幾年來的累積，現在全部混在一起，我就問問這App誰寫的,1,-0.011507515795528889
17,"同步歌單 之前明明還可以取消的啊
這麼這次打開手機 
發現同步歌單
在設定裡面 也找不到
真心的感到傻眼
還是有什麼其他方法
可以解決這問題",3,-0.17129845917224884
18,為什麼房東的貓的歌有好多不能聽了😢,2,-0.05877634882926941
19,"更新後發現歌詞的介面改了😭😭😭
真的很不喜歡QQ 覺得舊款的比較好看
不然建立個設定可以讓歌詞置中！
拜託讓歌詞置中😭😭😭不然歌詞在旁邊讓我都不想發ig了😭",5,0.14663513004779816
20,有時候apple watch歌詞會卡住 希望可以優化,5,-0.15663455426692963
21,請恢復讓使用者可以自行決定自動同步的選項！讓不同裝置能夠有專屬的播放歌單，不要強迫自動同步，帶來使用上的困擾！,2,0.07082004845142365
22,可以把歌單同步功能關掉嗎，這樣真的很困擾,1,0.1507655829191208
23,歌單不能自己選擇要不要同步,1,-0.14173053205013275
24,很讓人感到困擾,2,0.18492741882801056
25,"希望歌詞可以變回原本置中的格式🥺
看起來較舒適",4,-0.2476668804883957
26,是有什麼問題啊？硬要把歌單自動同步 不知道這樣對別人造成不便嗎？是不會先通知一聲嗎？自己自以為是改掉到底要害別人浪費多少時間把原本的歌弄回來 是在搞笑是不是？？？？？？,1,-0.3457459509372711
27,憑什麼強制啊⋯⋯==,2,-0.28474393486976624
28,"最近的版本更新後， 原本已經下載的歌曲或是收藏的歌曲多數跳出「離線使用中」要我立即上線。但是我已經是上線中的狀態。
是否為更新版本後的瑕疵呢？
雖然歌曲重新下載後就可以正常收聽，但是挺困擾的。
Ps.我是iOS系統",4,-0.5051102638244629
29,不管是上線或是離線使用，聽沒幾首歌就要停下來回復KK系統的通知，更爛的是就算回復了還是會重複跳出同一個通知，根本不能聽音樂！請盡快修正！,1,-0.2931124269962311
30,希望取消同步歌單的功能，至少讓使用者有辦法自行設定要不要同步,3,-0.19666233658790588
31,如題,2,0.14863932132720947
32,可以不要強迫自動同步歌單,1,0.08777391910552979
33,"為什麼要把歌單同步的功能移除
這樣每個裝置的使用習慣，都會混在一起
很麻煩
希望可以改回來",2,-0.1510177105665207
