negword,score
髒亂,7
糟報,5
早衰,5
責備,5
賊眼,5
戰禍,5
招災,5
折辱,5
中山狼,5
譸張,5
株連,7
墜毀,5
滋生,5
自恃,5
走後門,5
阻力,3
罪狀,9
做戲,7
哀鴻遍野,7
骯裏骯髒,5
不成話,5
昭然若揭,9
有口無心,9
不乾不淨,3
手腳不乾淨,9
索然寡味,9
死板板,9
鬆垮垮,9
危在旦夕,9
無紀律,9
無實質,9
險峭,1
不明不白,5
不清不白,7
不透明,3
不雅,3
不足爲外人道,3
玄妙,9
罪惡多端,9
皺巴,9
逞性子,7
臭名昭彰,9
哀梨蒸食,7
度量小,7
翻雲覆雨,5
腐化墮落,9
高不成低不就,3
孤單單,5
寡斷,7
乖剌,7
含糊不清,5
毫不客氣,5
鬍子拉碴,3
荒誕派,7
荒淫無度,9
晦暝,7
昏黑,3
抱疚,3
憋着一肚子氣,7
愁慘,5
錯愕,7
掉魂,7
發牢騷,3
煩神,5
忿忿不平,5
惶然不安,5
急死,7
口誅筆伐,5
罵得狗血噴頭,7
人身攻擊,5
尖嘴薄舌,5
心如鐵石,7
見風轉舵,7
可駭,9
枯寂,5
狂恣,9
老辣,5
肋脦,7
哩哩羅羅,3
令人厭倦,7
碌碌無爲,7
馬馬虎虎,5
莽莽撞撞,5
沒骨頭,7
沒兩下子,7
沒心眼兒,3
模棱兩可,5
少見多怪,3
難上難,5
一塌糊塗,9
只顧自身利益,9
難馴服,3
鬧鬧嚷嚷,7
鋪張浪費,7
奇醜無比,9
窮途潦倒,7
缺乏幽默,5
弱智,9
色迷迷,9
傻裏傻氣,5
食古不化,7
喧天,9
捉摸不定,9
滑天下之大稽,7
上趕,7
鼠膽,9
心胸狹隘,9
性格內向,9
越軌,9
哀莫大於心死,9
貓鼠同處,9
四海鼎沸,7
出疆載質,9
委國聽令,9
國步艱難,7
溽熱,1
偏疼,3
嬌慣,5
憤懣,5
暴跳如雷,9
戟指怒目,7
怒形於色,3
怒目切齒,5
城下之盟,7
撫髀興嘆,3
吞吞吐吐,3
夏日可畏,3
剝削,3
猖獗,3
臭架子,1
苟延殘喘,1
悍然,5
伎倆,3
黨羽,3
訛詐,5
飛揚跋扈,3
復闢,1
老狐狸,7
籠絡,3
厭惡,7
可憎,7
叛徒,5
欺凌,3
敲詐,5
屈辱,3
輕蔑,7
撒賴,3
傷天害理,9
爲所欲爲,5
烏合之衆,5
吸血鬼,7
陰謀,5
指鹿爲馬,5
罪有應得,5
看輕,1
獸行,7
貪色,3
作踐,9
兇相畢露,5
棺材老闆咬牙－恨不死人,3
行同狗彘,7
視如寇讎,7
切齒腐心,9
令人作嘔,9
不以爲然,7
文人相輕,3
王八蛋,7
姘婦,3
揶揄,3
癩皮狗,7
元兇,3
妖孽,7
騷貨,9
中傷,5
嘈雜,1
愁腸寸斷,9
憂心如薰,7
生吞蜈蚣－百爪撓心,9
無所措手足,5
不如意事常八九,3
燥熱,3
無面目見江東父老,9
船到江心補漏遲,9
張皇,3
浮躁,5
心如懸旌,5
腳忙手亂,5
心如火焚,9
不可企及,7
嫉妒,7
醋意,1
猜忌,5
敗家子,7
閉門造車,5
草包,7
乘人之危,5
記仇,5
妄求,3
人浮於事,7
分崩離析,5
人慾橫流,7
秋荼密網,5
欺瞞夾賬,9
賣官鬻獄,9
奪人所好,7
營私舞弊,7
賣友求榮,9
金迷紙醉,9
天下箸處,7
唱籌量沙,1
以人廢言,5
越鳧楚乙,5
東躲西藏,3
大相徑庭,5
判若雲泥,7
墜茵落溷,5
三反四覆,5
同歸於盡,1
火上澆油,7
先天不足,1
乘風轉舵,5
以火救火,3
敢怒不敢言,5
