content,rating
播 歌 給 手機 聽 讓 它 找出 歌曲 來 很 好 雖然 都 可以 辨識出 歌曲 但 有些 歌曲 沒有 收錄 喔 原來 是 這樣 我 知道 了,1.0
暢順 好聽,1.0
不錯,1.0
很 不錯 的 大部分 原唱 基本 都 有 還可以 免費 試聽 下載 良心 軟件 了,1.0
剛剛 安裝 就 要 問 祖先 十八 代 真是 夠 了 乾脆 解除 安裝 並且 把 它 廣泛 宣傳,-1.0
希望 能夠 在 推出 更 高 的 音質 以及 可以 購買 單曲,1.0
一直 呈現 跑 的 狀態 一直 跑不動 不能 聽 已 更新 也 是,-0.5
別的 先 不 說 狀態欄 不 沉浸 就 很 難受,-0.5
無法 使用 免費 聽 拜託 可以 盡快 修復 嗎,0.0
方便 好用,1.0
沒有 免費 聽 了 只 剩 試聽,0.0
聲音 是 不錯 可是 很少 現在 流行 的 歌,-0.5
最 愛 必備 的 程式,1.0
剛 下載 好 為什麼 都 不能 登錄 能不能 用 好 一點 在 給 我 我們 下載,-1.0
自從 更新 後邊 聽 歌 邊 使用 其他 應用 程式 時 會 一直 自動 閃退 無法 與 其他 一起 使用,0.0
不好意思 為什麼 有些 歌手 的 整 張 專輯 突然 下架 呢 聽完 一 次 後 要 聽 第二 次 後 就 顯示 未 授權 了 之前 都 還可以 聽 希望 能 趕快 重新 上架 這 個 專輯 就 整 個 下架 了,-0.5
希望 可以 用 支付 寶付款,-0.5
旋轉 手機 閃退 的 問題 已 暫時 解決 希望 能 早日 確實 解決 改善 後 補 五星 評價,0.5
一 開起來 就 閃退 儲值 了 會員 卻 不能 用 讓 人 感覺 很 差,-1.0
能 聽到 很多 不同 類型 的 歌曲 也 能 聽到 來自 其他 地區 第一手 的 新歌 發表,1.0
沒有 的 進 不 到 就 很 煩,-1.0
人性化 設計,1.0
我 是 使用 自從 最近 更新 後 便 開始 一直 閃退 希望 可以 改善,0.0
有 最 新 一 期 的 歌曲 方便 使用,0.5
垃圾 垃圾 垃圾,-1.0
最近 怎麼 常常 聽 一 聽 忽然 被 關掉 就 像 被 按 了 方塊鍵 一樣 重新 下載 還 是 一樣 手機 型號,0.5
這 個 是 登入 後天 過 了 就 要 付費 嗎,0.5
我 使用 更新 到 後 一直 不停 閃退 可以 麻煩 解決 嗎 感謝,0.5
我 覺得 還好 但是 可能 是 我 的 網絡 有點 爛 感覺 搜索 的 速度 有點 慢 而且 我 要 找 的 歌 有 些 不 是 原唱 希望 能不要 收費,0.0
去 哦 就 啊 吃 開車 妻子 是 妳 吃 奶字 開車 哦 你 喔 吃 你 既 呢及 奶茶 嗯 褲子 可 拆 欸 幹雸 給 卡片 吃 欸 幹 詐欺 而 哭 喔 嘎 健康 呃 上課 喔 吃 你 賊 開機 你 賊 感覺 喔 開頭 喔喔 吃 哦 開車 喔 乃 拆 請教 喔 嘎嘎開 看 小姐 恩膏 擦開 高中 的 嗯 而 而 而 而 而 而 而已 五 看 欸 酷 哦 刺 欸 吃 欸 看過 哦 常常 哦 鐵閘 鐵閘 啊 您 喔 酷 哦 一 吃 米酒 牛仔褲 欸 吃 你 吃 哦 很 差 欸 哭宅 開車 哦 米 愛 嘎 之 天恩 烤翅 四 熱 用 行程 喔 可 草 你 吃 哦 課本 自殺 指 這 只 佔 欸 再見 小恩字 呢 宅配 他 至 阿哥 賊 現在 聽 你 進來 你 幹嘛 提及 黑市 開啟 喔 只 提供 而 拚排 啊 張 太太 之 門 按 該 感覺 喔 投資 喔 你 喔 誰 可 拆 機車 喔 可 起來 吃 妻子 米 欸 成功 因 引起 雸音 感爾 給 在 臺 內 資白癡 哦 他 欸 那 燒 內在 做 嘎 之 噴噴 在 跟去 欸 字 呢 吃 欸 愛 張 空間 偶爾 啊子 按咁 給 他 欸 買 的 套 汽車 擴音器 欸 字 呢 喔 吃 嫩口賊 談談 他 阿爾 跟 摸吃 嫩爾內 吃 他 誰 悶騷 網囊 此 漫畫 岑內 是 老總 牛仔 誒 尬 欸 日 吃 開頭 沉迷 引擎 金恩 則 在 各 民族 賠償 哦 拍 窄 欸 吃 過去 哦米 贓款 嫩模 去 哦 健康 阿爾 開車 欸 看見 啊 欸 吃 開心奧 此 乃 吃 你 喔 腦 算命 吃 欸 你 去 嗯 無名指 艾米 警方 及 你 喔 吃看 欸 磁卡 知識 欸 講 欸 抗 癌 噴 肝癌 太 昂 哦 今天 誒 怪 咖 愛 開機 賊星 欸 字 去 欸 字 開心 餓哭 是 妳 車 呢 及 看 欸 看 欸 警察 嘅 癡漢 感知 乾柴賊 可 草 看 現在 你 既 啤酒奶 迫切 啊 你 吃 欸 起 而 按照 太監 啊 他 只 聽見 喔 欸 字 開車 你 吃 哦 魔鏡 那 個 而 寶可夢,1.0
關起 手機 還 能 聽 音樂 是 個 很 棒 的 功能,1.0
很 好用,1.0
歌曲 豐富 但 希望 使用 介面 能 再 提高 可以 更 好看,0.0
小 工具 有點 寒酸 不能 調 歌詞 大小 不能 播 手機 裡 的 還 有 為什麼 都 付 了 錢 還要 看 你 那些 討厭 的 廣告 莫名其妙 想 聽 的 都 變 未 授權 什麼 時候 上架 不 知道 付錢 的 時候 可以 聽 的 有沒有 在 維護 啊,-1.0
為什麼 我 聽 歌 聽到 一半 要 切回 上 一 首 歌 的 時候 它 會 先 跳回 原來 這 首 歌 的 開頭 然後 在 點 第二 次 上 一 首 歌 的 按鍵 才 能 切換 請 修復,0.5
很 流暢 很 好用,1.0
不 知道 是 不 是 不 支援 每 一 款 手機 我 的 沒有 動態 歌詞,1.0
希望 可以 增加 歌曲 置頂 的 功能,0.5
超級 好 神級,1.0
我 的 手機 型號 是 最近 更新 後 只要 每 次 開啟 聽 歌 時 都 會 閃退 而且 已經 好幾 次 了 而且 每 次 重開 都 會 閃退 已經 連續 好幾 天 這樣 了 希望 你們 盡快 改進,-0.5
請問 一定 要 付費 嗎,0.0
